Feature,Short_name
DN_OutlierInclude_n_001_mdrmd,outlier_timing_neg
DN_OutlierInclude_p_001_mdrmd,outlier_timing_pos
DN_HistogramMode_5,mode_5
DN_HistogramMode_10,mode_10
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,dfa
SB_TransitionMatrix_3ac_sumdiagcov,transition_variance
FC_LocalSimple_mean1_tauresrat,whiten_timescale
SB_MotifThree_quantile_hh,entropy_pairs
CO_HistogramAMI_even_2_5,ami2
CO_Embed2_Dist_tau_d_expfit_meandiff,embedding_dist
SB_BinaryStats_diff_longstretch0,stretch_decreasing
MD_hrv_classic_pnn40,high_fluctuation
SB_BinaryStats_mean_longstretch1,stretch_high
FC_LocalSimple_mean3_stderr,forecast_error
SP_Summaries_welch_rect_area_5_1,low_freq_power
SP_Summaries_welch_rect_centroid,centroid_freq
CO_f1ecac,acf_timescale
CO_FirstMin_ac,acf_first_min
IN_AutoMutualInfoStats_40_gaussian_fmmi,ami_timescale
PD_PeriodicityWang_th0_01,periodicity
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,rs_range
CO_trev_1_num,trev
DN_Mean,mean
DN_Spread_Std,std
